# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	CentralIllinois	Palmetto	Alamo	GreaterTorontoWest	InlandEmpire	MICenterLine	MISouthfield	NEGraniteState	PNWAuburnMountainview	MARMtOlive	MARHatboroHorsham	Israel	GreaterTorontoEast	Arkansas	SanDiego	Crossroads	LakeSuperior	NorthernLights	HubCity	NEUNH	CentralValley	MIKetteringU	MIGullLake	PNWOregonCity	PNWGlacierPeak	NEGroton	MexicoCity	Sacramento	Orlando	GreaterKansasCity	St.Louis	NorthCarolina	NewYorkTechValley	Dallas	Utah	NEWPI	MIEscanaba	MIHowell	MARSpringsideChestnutHill	PNWEasternWashingtonU	PNWMt.Vernon	MARClifton	Waterloo	Montreal	Arizona	LosAngeles	Boilermaker	Buckeye	Virginia	Wisconsin	MIWestMichigan	MIGreatLakesBayRegion	MITraverseCity	PNWWilsonville	NERhodeIsland	PNWShorewood	NESouthington	MARLenape-Seneca	NorthBay	Peachtree	Hawaii	Minnesota10000Lakes	MinnesotaNorthStar	SBPLILongIsland	FingerLakes	QueenCity	Oklahoma	GreaterPittsburgh	SmokyMountains	GreaterDC	NENortheasternU	MILivonia	MISt.Joseph	MIWaterford	PNWAuburn	PNWCentralWashingtonU	NEHartford	MARBridgewaterRaritan	WesternCanada	WindsorEssexGreatLakes	SiliconValley	Colorado	SouthFlorida	Midwest	Bayou	Chesapeake	LasVegas	NewYorkCity	LoneStar	NEPineTree	MiLansing	MIBedford	MITroy	PNWOregonStateU	NewEnglandRegion	MichiganState	AutodeskPNW	MidAtlanticRegion	Archimedes	Curie	Galileo	Newton
																																																																																																													
3	Las Vegas, NV USA	S & S Philpott LLC. / Lowes / Nevada YESCO LLC. / Lenovo / Albertsons / PTC / ITT Technical Institute / VSR Industries & Cimarron-Memorial High School	HIGHROLLERS	987	33	103.5	Curie															103.529018677006																																																																								82.0717714497147													77.0776911025434		
4	Stayner, ON Canada	JT Snowmobile / Page Graphics / Weld Experts / Clearview Township / Stayner Kinsmen / Stayner Lions Club & Cybergnomes Robotics Team 2013	Cybergnomes	2013	34	103.1	Curie													53.2327489190369																																														54.4271326215092																				103.12725284145																					54.6145422164442		
4	Lancaster, CA USA	NASA Dryden Flight Research Center/Lockheed Martin/Northrop Grumman/JT3/ITEA/BAE Systems/Aeroviroment/West Coast Products/Pacific Coast Powder Coating & Lancaster High School & Antelope Valley Union High School District	Eagle Robotics	399	35	101.8	Archimedes					60.1989345242631																														51.6564494686892																																																				70.501674089405												101.820876530116			
6	Madison Heights, MI USA	NDEP/General Motors/The Chrysler Foundation & Bishop Foley Catholic High School	The Foley Freeze	910	36	101.0	Newton						38.1099394513126																																42.9982295811316										101.03661557506																																													86.6235690550701			47.6888785100949						89.8746102061194
3	Peoria, IL USA	Caterpillar Inc & Limestone Community High School	Argos	1756	37	100.8	Galileo	59.9148929125478																																														100.766781431225																																																						77.5737676516505	
3	Toronto, ON Canada	Hatch/Thales/H. Hatsios Investments/Extrude-A-Trim/Tsubaki & Crescent School	The Coyotes	610	38	100.5	Newton				81.1503328590648																																																							100.504164975093																																											81.6559501211484
5	Mississauga, ON Canada	General Motors of Canada / Pratt & Whitney / Templeton & Sons / christie / Hydrogenics / Trans Canada & Rick Hansen SS & Theory6	THEORY6	1241	39	100.5	Curie				82.1304602718241									66.9882340661531																														81.8665568803331																																					100.499271723053																				64.730567350701		
3	San Jose, CA USA	FUHS Foundation/Symantec/NASA/Teradata Corp/Qualcomm/Western Digital/The Brin Wojcicki Foundation/Google/PTC/Intuitive Surgical Inc/Makineni Family/Vanderbend Manufacturing/Therma Corp./Exatron Inc/Lux Manufacturing & Lynbrook High School	The Funky Monkeys	846	40	100.1	Newton																																																77.7279143923562																																	69.7998600254253																					100.130707243802
4	Hillsboro, OR USA	NASA / Valley Machine / Entro Industries / Hillsboro School District / Christmas Mountain Choose and Cut / Hillsboro Optimists Club / 1st Tech Federal Credit Union / Resource One & Glencoe High School	Shockwave	4488	41	100.1	Galileo																								74.5287383532795																														75.5503759153067																																											100.076928844153				79.2024414693061	
3	Allendale, MI USA	PTC & Allendale High School	TriSonics	4003	42	99.3																								32.9356447755025																												99.330960979715																																													44.0201019953083						
