,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo
5915,Mercy Midnight Storm ,St. Louis,MISCDow,7,4.91,-0.15,-2.92,-2.96,0.11,0.00,6.63,0.11,-1.00,-1.00,2.21,8.58,2.33,-3.35,-0.82,0.33,0.33,0.34,-0.14,30.44,1.10,-1.00,-1.00,64.77,0.16,0.29,0.25,35.15,0.83,-1.00,-1.00,-0.07,-0.14,-0.13,0.25,0.40,-0.08,9.39,-0.74,37.06,0.87,1.21,-1.00,-1.00,-3.77,72.61,57.30,-0.07,-52.21,1375
5915,Mercy Midnight Storm ,St. Louis,MIWoodhaven,4,5.09,0.56,0.37,0.54,0.09,0.00,5.22,0.09,-1.00,-1.00,1.74,10.84,-1.62,0.63,0.08,0.33,0.38,0.25,0.00,34.96,1.67,-1.00,-1.00,61.50,0.12,0.06,0.36,26.46,0.59,-1.00,-1.00,0.00,0.00,-0.07,0.01,0.17,0.28,3.82,6.97,40.18,0.96,1.75,-1.00,-1.00,0.62,79.31,79.31,-0.08,-4.68,1434
5915,Mercy Midnight Storm ,St. Louis,MICenterLine,2,6.86,0.00,0.00,0.00,-0.07,0.00,-4.02,-0.07,-1.00,-1.00,-1.34,2.85,-0.05,0.16,-0.03,0.26,0.31,0.18,0.00,32.87,1.34,-1.00,-1.00,63.65,0.28,0.16,0.18,30.81,0.42,-1.00,-1.00,0.00,0.00,0.05,0.18,0.02,0.01,0.74,1.07,28.85,0.75,1.28,-1.00,-1.00,-0.03,67.56,67.56,0.42,13.00,1484
5918,Pumatron,St. Louis,GreaterKansasCity,3,3.82,0.00,-0.26,-0.26,0.29,0.00,17.26,0.29,-1.00,-1.00,5.75,20.83,-0.97,-0.47,-0.29,0.33,0.37,0.22,-0.01,25.21,1.30,-1.00,-1.00,37.01,0.20,-0.16,0.20,12.09,0.33,-1.00,-1.00,-0.01,-0.01,0.01,0.67,-0.11,0.19,-2.71,8.23,42.47,0.92,1.58,-1.00,-1.00,-0.55,66.07,65.25,0.10,2.39,1388
5919,JoCo RoBos,Houston,NCRaleigh,4,0.39,0.00,-0.03,-0.03,-0.08,0.00,-5.07,-0.08,-1.00,-1.00,-1.69,-4.72,0.12,-3.51,-1.30,0.33,0.38,0.05,-0.01,33.19,0.96,-1.00,-1.00,41.85,-0.01,0.11,0.10,9.96,0.25,-1.00,-1.00,-0.01,-0.01,0.05,0.00,-0.14,-0.27,-3.16,-6.66,28.12,0.75,0.87,-1.00,-1.00,-1.33,30.47,29.09,-0.02,-33.28,1325
5919,JoCo RoBos,Houston,NCPittCounty,1,1.06,0.00,0.03,0.03,-0.07,0.00,-4.23,-0.07,-1.00,-1.00,-1.41,-3.13,2.26,0.08,0.07,0.33,0.36,-0.08,0.00,27.53,0.47,-1.00,-1.00,18.54,0.04,-0.25,0.03,-9.05,0.17,-1.00,-1.00,0.00,0.00,-0.04,0.01,0.40,0.20,9.86,5.12,23.30,0.62,0.40,-1.00,-1.00,0.10,20.53,20.53,-0.24,-35.81,1390
5920,VIKotics,Houston,PNWChampionship,6,4.70,0.00,-0.23,-0.23,0.28,0.00,17.09,0.28,-1.00,-1.00,5.70,21.55,0.50,-2.03,-0.53,0.33,0.34,0.39,0.27,41.85,3.57,-1.00,-1.00,49.93,0.07,-0.14,0.24,8.62,0.83,-1.00,-1.00,0.00,0.27,0.19,-0.10,0.00,0.07,1.06,1.16,58.93,1.33,3.85,-1.00,-1.00,-0.76,72.65,99.59,0.04,-27.90,1472
5920,VIKotics,Houston,PNWCentralWashingtonUniversity,3,4.38,0.00,1.55,1.55,0.40,0.00,23.70,0.40,-1.00,-1.00,7.90,29.63,0.21,-0.28,-0.09,0.33,0.34,-0.06,0.00,8.88,0.06,-1.00,-1.00,46.71,0.08,0.38,0.30,37.92,0.88,-1.00,-1.00,0.00,0.00,-0.02,0.13,-0.23,0.17,-5.89,4.84,32.58,0.62,0.46,-1.00,-1.00,1.46,81.18,81.18,-0.06,-15.37,1489
5920,VIKotics,Houston,PNWWestValley,1,4.62,-0.01,0.09,0.09,0.05,0.00,3.10,0.05,-1.00,-1.00,1.03,7.82,-3.24,-0.37,-0.43,0.37,0.40,0.03,-0.01,29.06,0.89,-1.00,-1.00,74.38,0.41,0.31,0.19,45.74,0.95,-1.00,-1.00,0.00,-0.01,0.24,0.09,0.04,0.07,2.24,2.20,32.16,0.78,0.95,-1.00,-1.00,-0.33,84.40,83.35,0.45,40.10,1545
5921,Binary Power,St. Louis,ONVictoriaParkCollegiate,3,4.91,0.00,-0.12,-0.12,0.18,0.00,10.80,0.18,-1.00,-1.00,3.60,15.59,-0.55,-0.73,-0.26,0.33,0.36,0.19,0.00,28.20,1.30,-1.00,-1.00,21.56,0.18,-0.14,-0.17,-6.38,0.07,-1.00,-1.00,0.00,0.00,0.77,0.10,0.10,0.40,6.27,10.53,39.01,0.89,1.48,-1.00,-1.00,-0.39,47.68,47.68,0.19,-24.78,1338
5921,Binary Power,St. Louis,ONRyersonUniversity,2,4.06,-0.44,1.34,1.21,0.01,0.00,0.78,0.01,-1.00,-1.00,0.26,6.05,0.48,-1.27,-0.41,0.35,0.28,-0.07,0.00,21.88,0.29,-1.00,-1.00,31.88,0.19,0.10,-0.09,10.41,0.33,-1.00,-1.00,-0.01,0.00,-0.16,0.07,-0.12,-0.04,-3.73,-0.59,22.65,0.56,0.30,-1.00,-1.00,0.80,37.33,37.22,-0.02,-27.09,1385
5923,Juggerbots,Houston,LoneStarNorth,5,3.06,0.00,0.40,0.40,0.14,0.00,8.35,0.14,-1.00,-1.00,2.78,11.81,0.00,-1.26,-0.37,0.33,0.33,0.05,-0.11,18.59,0.06,-1.00,-1.00,24.34,-0.20,0.13,0.19,6.11,0.27,-1.00,-1.00,-0.01,-0.11,0.47,0.56,-0.08,0.12,0.34,5.80,26.94,0.60,0.20,-1.00,-1.00,0.03,41.95,31.01,0.04,-28.71,1405
5924,The Cat Machine,Houston,SiliconValley,5,3.49,0.06,-0.11,-0.08,0.21,0.00,12.84,0.21,-1.00,-1.00,4.28,16.25,0.01,0.38,0.10,0.33,0.33,0.45,0.27,46.64,3.87,-1.00,-1.00,59.04,0.04,-0.08,0.29,12.30,0.58,-1.00,-1.00,0.00,0.27,0.05,0.33,0.01,0.18,0.58,6.25,59.48,1.38,4.08,-1.00,-1.00,0.02,81.55,108.68,0.17,-19.29,1410
5924,The Cat Machine,Houston,SanFrancisco,3,4.54,-0.03,-0.85,-0.85,-0.32,0.00,-19.18,-0.32,-1.00,-1.00,-6.39,-15.48,-1.56,-2.29,-0.88,0.34,0.45,-0.01,0.00,44.00,1.18,-1.00,-1.00,58.12,0.05,0.21,0.04,15.00,0.50,-1.00,-1.00,-0.06,0.00,0.15,-0.07,0.41,-0.02,10.97,-0.90,24.82,0.78,0.86,-1.00,-1.00,-1.72,41.74,40.56,0.00,-31.31,1406
5926,Da MOOse,St. Louis,MIMarysville,6,5.01,0.00,0.19,0.19,0.07,0.00,4.12,0.07,-1.00,-1.00,1.37,9.32,-0.05,-0.10,-0.11,0.33,0.33,0.36,-0.04,37.05,1.84,-1.00,-1.00,72.84,0.22,0.21,0.29,35.91,0.79,-1.00,-1.00,0.00,-0.04,-0.11,-0.03,0.28,-0.03,6.47,-1.01,41.17,0.99,1.91,-1.00,-1.00,0.08,81.15,77.50,0.19,20.33,1447
5926,Da MOOse,St. Louis,MIKetteringUniversity2,2,4.30,0.02,1.15,1.15,-0.01,0.00,-0.38,-0.01,-1.00,-1.00,-0.13,5.07,4.21,-0.12,0.36,0.33,0.37,0.02,0.00,29.50,0.85,-1.00,-1.00,41.69,-0.05,0.24,0.04,11.83,0.36,-1.00,-1.00,0.00,0.00,0.00,-0.22,-0.03,-0.14,-0.71,-4.52,29.12,0.73,0.84,-1.00,-1.00,1.51,42.25,42.21,0.18,-4.18,1428
5927,iCademy Globetrotters,St. Louis,MIWestMichigan,4,2.82,0.01,0.24,0.24,0.34,0.00,20.38,0.34,-1.00,-1.00,6.79,23.44,1.15,-0.43,-0.07,0.33,0.38,0.52,0.09,39.43,3.06,-1.00,-1.00,103.52,0.39,0.44,0.45,64.16,0.78,-1.00,-1.00,0.00,0.09,-0.13,-0.01,0.00,0.49,-0.74,12.12,59.82,1.33,3.40,-1.00,-1.00,0.17,139.08,148.48,0.40,79.30,1609
5927,iCademy Globetrotters,St. Louis,MISt.Joseph,2,0.17,0.00,-0.03,-0.03,-0.15,0.00,-9.05,-0.15,-1.00,-1.00,-3.02,-8.91,0.08,-0.57,-0.20,0.33,0.38,0.28,0.00,45.73,2.03,-1.00,-1.00,73.86,0.09,0.23,0.25,28.33,0.33,-1.00,-1.00,0.00,0.00,-0.12,0.97,0.37,-0.03,8.61,4.05,36.69,0.99,1.88,-1.00,-1.00,-0.23,69.01,69.01,0.14,2.13,1485
5928,MetalBoost,Houston,ISRChampionship,4,4.58,-0.02,0.28,0.28,-0.03,0.00,-2.03,-0.03,-1.00,-1.00,-0.68,2.83,0.00,-1.11,-0.43,0.33,0.33,0.19,-0.06,33.06,1.08,-1.00,-1.00,90.96,0.44,0.42,0.30,58.34,1.00,-1.00,-1.00,0.00,-0.06,0.56,0.31,-0.05,0.10,1.63,4.10,31.03,0.79,1.05,-1.00,-1.00,-0.15,97.90,91.85,0.23,2.05,1459
5928,MetalBoost,Houston,ISR3,2,6.00,0.00,0.04,0.04,0.22,0.00,13.10,0.22,-1.00,-1.00,4.37,19.14,0.00,1.72,0.58,0.33,0.35,0.36,0.00,32.70,1.90,-1.00,-1.00,85.50,0.23,0.27,0.55,52.22,0.93,-1.00,-1.00,0.02,0.00,-0.13,0.02,0.09,0.11,1.57,2.78,45.80,1.04,2.12,-1.00,-1.00,0.62,107.42,107.92,0.48,52.90,1506
5928,MetalBoost,Houston,ISR1,1,3.00,0.00,-0.54,-0.54,0.09,0.00,5.46,0.09,-1.00,-1.00,1.82,7.92,0.15,-2.85,-0.99,0.33,0.30,-0.16,0.00,14.97,-0.16,-1.00,-1.00,42.80,0.26,0.47,-0.16,28.83,0.46,-1.00,-1.00,-0.02,0.00,0.21,0.15,0.38,-0.09,10.57,-1.41,20.43,0.47,-0.07,-1.00,-1.00,-1.53,49.32,48.89,0.27,0.67,1391
5929,The Jolly Robots,St. Louis,NorthernLights,1,5.02,0.00,-0.18,-0.18,-0.19,0.00,-11.45,-0.19,-1.00,-1.00,-3.82,-6.60,0.34,0.63,0.18,0.33,0.29,-0.01,0.01,32.69,0.81,-1.00,-1.00,29.87,0.06,0.16,-0.28,-3.01,0.13,-1.00,-1.00,0.00,0.01,-0.16,-0.02,-0.04,0.16,-1.91,3.90,21.24,0.63,0.62,-1.00,-1.00,0.01,27.16,28.51,0.03,-24.41,1435
5930,Lunar Kitties,Houston,Newton,8,4.58,0.01,0.17,0.17,0.28,-0.02,15.64,0.26,-1.00,-1.00,5.21,20.39,3.33,0.31,0.48,0.32,0.32,0.21,-0.05,21.68,0.90,-1.00,-1.00,29.18,0.32,0.01,-0.19,7.01,0.30,-1.00,-1.00,0.10,-0.05,-0.13,-0.03,-0.05,0.72,-1.76,17.89,37.32,0.80,1.16,-1.00,-1.00,0.66,67.46,64.11,-0.16,-67.92,1347
5930,Lunar Kitties,Houston,Alamo,6,2.92,-0.17,0.50,0.45,0.10,0.00,6.07,0.10,-1.00,-1.00,2.02,9.44,0.10,0.36,0.12,0.33,0.40,0.41,0.00,41.38,2.32,-1.00,-1.00,44.32,0.05,-0.12,0.12,2.83,0.10,-1.00,-1.00,0.00,0.00,0.25,0.43,0.02,0.01,1.88,2.32,47.46,1.14,2.42,-1.00,-1.00,0.56,56.08,56.08,-0.16,-33.10,1389
5932,Quetzales,Houston,Toluca,1,1.95,0.29,-0.24,-0.15,0.14,0.00,8.45,0.14,-1.00,-1.00,2.82,10.25,0.58,-0.45,-0.17,0.34,0.05,-0.01,0.00,9.74,0.01,-1.00,-1.00,19.75,-0.21,0.18,0.24,10.19,0.20,-1.00,-1.00,0.00,0.00,0.74,0.11,-0.21,0.17,-1.59,4.88,18.19,0.38,0.15,-1.00,-1.00,-0.32,34.88,34.88,0.07,-13.89,1392
5933,JudgeMent Call,Houston,Idaho,5,4.77,0.01,-1.08,-1.08,0.49,0.01,30.45,0.51,-1.00,-1.00,10.15,34.14,1.72,-3.74,-0.98,0.33,0.33,0.50,-0.01,26.18,2.13,-1.00,-1.00,59.32,-0.01,0.39,0.30,34.12,0.83,-1.00,-1.00,-0.08,-0.01,0.00,0.03,-0.14,-0.05,-3.58,-1.17,56.63,1.16,2.64,-1.00,-1.00,-2.06,92.29,90.16,-0.05,-4.55,1446
5933,JudgeMent Call,Houston,Utah,2,4.87,0.00,-0.25,-0.25,0.14,0.00,8.62,0.14,-1.00,-1.00,2.87,13.25,-0.53,1.58,0.51,0.35,0.35,0.11,0.00,26.97,1.00,-1.00,-1.00,46.25,-0.01,0.35,0.04,18.77,0.17,-1.00,-1.00,-0.03,0.00,-0.06,-0.07,-0.05,0.12,-1.49,2.72,35.59,0.82,1.14,-1.00,-1.00,0.27,62.23,61.71,0.12,-19.81,1459
5934,Crowbotics,St. Louis,Midwest,5,4.18,-0.27,-0.91,-1.00,0.34,0.00,20.40,0.34,-1.00,-1.00,6.80,23.59,0.62,1.98,0.67,0.33,0.33,-0.15,-0.01,6.45,-0.36,-1.00,-1.00,28.00,0.04,0.21,0.17,20.88,0.44,-1.00,-1.00,0.00,-0.01,0.12,0.08,0.28,-0.03,7.67,-0.33,26.86,0.50,-0.02,-1.00,-1.00,-0.32,51.27,50.23,0.05,-25.10,1393
5935,Tech Tigers,St. Louis,Iowa,4,2.34,0.03,-0.05,-0.05,0.19,0.00,11.50,0.19,-1.00,-1.00,3.83,13.79,-0.28,0.11,-0.02,0.33,0.13,-0.20,0.06,4.85,-0.40,-1.00,-1.00,-7.63,-0.19,0.22,-0.28,-12.46,0.00,-1.00,-1.00,0.00,0.06,0.33,-0.14,0.31,0.20,9.36,4.26,16.35,0.31,-0.20,-1.00,-1.00,-0.06,10.43,15.97,-0.07,-45.63,1332
5937,MI-Robotics,Houston,PNWAuburn,5,5.72,0.00,-0.19,-0.19,0.12,0.00,7.08,0.12,-1.00,-1.00,2.36,12.61,0.04,-4.23,-1.43,0.33,0.35,0.39,0.03,38.93,2.27,-1.00,-1.00,83.21,0.24,0.35,0.32,45.71,0.90,-1.00,-1.00,-0.02,0.03,0.04,0.17,0.14,-0.05,3.66,-0.36,46.00,1.09,2.39,-1.00,-1.00,-1.62,95.46,97.63,0.15,23.82,1508
5937,MI-Robotics,Houston,PNWAuburnMountainview,1,5.55,0.01,-0.02,-0.01,0.29,0.00,17.14,0.29,-1.00,-1.00,5.71,22.68,0.30,2.35,0.70,0.35,0.40,0.19,0.00,26.20,1.29,-1.00,-1.00,50.06,0.38,0.10,-0.01,23.16,0.25,-1.00,-1.00,0.00,0.00,-0.22,0.15,0.06,0.13,0.52,3.89,43.34,0.94,1.57,-1.00,-1.00,0.69,76.64,76.64,0.11,-14.34,1440
5938,Razor Steel Robotics,St. Louis,MARSeneca,4,4.36,-0.06,-0.19,-0.21,0.18,0.00,10.95,0.18,-1.00,-1.00,3.65,15.11,7.47,0.32,0.88,0.33,0.34,0.09,-0.02,22.29,0.72,-1.00,-1.00,44.49,0.09,0.04,0.31,21.33,0.67,-1.00,-1.00,0.00,-0.02,0.06,-0.01,0.22,-0.19,5.84,-4.75,33.24,0.74,0.90,-1.00,-1.00,0.67,54.86,52.64,-0.06,-52.33,1352
5938,Razor Steel Robotics,St. Louis,MARWesttown,2,3.47,0.00,0.01,0.01,0.02,0.00,1.32,0.02,-1.00,-1.00,0.44,4.80,-0.25,-1.40,-0.43,0.33,0.35,-0.02,-0.02,24.86,0.47,-1.00,-1.00,47.92,0.13,0.18,0.16,23.49,0.57,-1.00,-1.00,0.00,-0.02,0.06,0.03,-0.10,0.02,-2.22,0.68,26.18,0.64,0.49,-1.00,-1.00,-0.42,53.40,51.41,-0.01,-22.92,1417
5940,B.R.E.A.D.,Houston,SiliconValley,5,5.05,-0.13,0.95,0.91,0.06,0.00,3.45,0.06,-1.00,-1.00,1.15,9.41,-0.71,-0.47,-0.23,0.34,0.33,0.29,-0.03,34.88,1.57,-1.00,-1.00,63.63,0.04,0.29,0.26,28.99,0.67,-1.00,-1.00,0.01,-0.03,-0.07,-0.19,1.02,0.10,25.24,1.49,38.33,0.93,1.63,-1.00,-1.00,0.68,74.54,71.47,-0.16,-46.51,1385
5940,B.R.E.A.D.,Houston,SanFrancisco,3,3.32,-0.01,-2.12,-2.12,0.01,0.00,0.85,0.01,-1.00,-1.00,0.28,2.05,0.23,-4.39,-1.42,0.23,0.11,0.09,0.00,16.61,0.46,-1.00,-1.00,68.97,0.35,0.37,0.36,53.78,0.92,-1.00,-1.00,-0.03,0.00,-0.15,0.10,0.16,0.05,3.16,1.79,17.46,0.43,0.48,-1.00,-1.00,-3.54,72.80,72.11,0.15,30.68,1442
5941,SPQL,Houston,PNWGlacierPeak,4,4.42,0.00,-0.62,-0.62,0.19,0.00,11.18,0.19,-1.00,-1.00,3.73,14.98,-0.01,0.73,0.21,0.35,0.34,0.28,0.04,32.83,1.86,-1.00,-1.00,88.17,0.20,0.43,0.48,55.13,0.75,-1.00,-1.00,0.00,0.04,-0.06,0.00,0.21,-0.04,4.89,-0.90,44.01,1.01,2.05,-1.00,-1.00,-0.41,102.24,105.87,0.21,31.38,1511
5941,SPQL,Houston,PNWMountVernon,3,5.31,0.00,-0.40,-0.40,0.07,0.00,4.00,0.07,-1.00,-1.00,1.33,8.92,-0.07,-1.02,-0.29,0.34,0.18,-0.08,-0.02,14.27,-0.11,-1.00,-1.00,63.98,0.47,0.17,0.35,50.00,0.50,-1.00,-1.00,0.00,-0.02,0.02,-0.13,0.43,-0.07,10.99,-2.30,18.28,0.42,-0.04,-1.00,-1.00,-0.68,70.60,68.97,0.22,-15.48,1413
5942,Warriors,Houston,PNWCentralWashingtonUniversity,3,4.96,0.00,-0.16,-0.16,0.21,0.00,12.83,0.21,-1.00,-1.00,4.28,17.63,-0.32,0.36,0.09,0.33,0.36,0.26,0.00,29.67,1.55,-1.00,-1.00,67.30,0.50,0.18,0.07,37.54,0.73,-1.00,-1.00,0.00,0.00,0.06,-0.20,-0.30,0.07,-7.16,0.88,42.50,0.96,1.76,-1.00,-1.00,-0.07,85.81,85.81,0.36,11.78,1503
5942,Warriors,Houston,PNWWestValley,1,4.23,-0.02,0.07,0.07,-0.07,0.00,-4.22,-0.07,-1.00,-1.00,-1.41,0.08,-3.05,-0.24,-0.34,0.30,0.42,0.20,0.00,39.36,1.65,-1.00,-1.00,52.36,0.18,0.07,0.02,13.33,0.40,-1.00,-1.00,0.00,0.00,-0.05,0.09,-0.23,-0.15,-6.03,-3.24,35.15,0.91,1.58,-1.00,-1.00,-0.27,49.20,49.02,0.28,28.93,1533
5943,The Bad News Gears,St. Louis,HudsonValley,4,5.67,-0.02,0.13,0.13,-0.25,0.00,-15.04,-0.25,-1.00,-1.00,-5.01,-9.24,0.63,0.28,0.10,0.35,0.27,0.20,0.07,45.39,2.02,-1.00,-1.00,76.29,0.19,0.08,0.35,30.81,0.70,-1.00,-1.00,0.00,0.07,0.58,-0.09,-0.17,-0.50,-1.28,-12.84,30.35,0.88,1.77,-1.00,-1.00,0.23,54.22,60.94,-0.04,-14.79,1380
5943,The Bad News Gears,St. Louis,NewYorkTechValley,3,4.82,0.00,0.10,0.10,0.06,0.00,3.52,0.06,-1.00,-1.00,1.17,8.44,-0.58,-0.99,-0.34,0.33,0.28,-0.03,-0.02,20.46,0.29,-1.00,-1.00,66.61,0.28,0.54,0.11,46.49,0.67,-1.00,-1.00,0.01,-0.02,0.06,-0.01,-0.01,-0.24,0.10,-6.16,23.98,0.57,0.35,-1.00,-1.00,-0.24,68.89,67.34,0.05,-12.48,1357
5944,Robotic Pioneers,St. Louis,INPerryMeridian,4,4.07,0.00,0.43,0.43,0.30,0.00,18.27,0.30,-1.00,-1.00,6.09,22.77,-0.02,2.60,0.81,0.33,0.34,0.12,-0.08,15.93,0.34,-1.00,-1.00,61.58,0.27,0.44,0.18,44.84,0.75,-1.00,-1.00,0.00,-0.08,0.68,-0.07,0.27,0.01,10.27,-0.04,34.19,0.70,0.64,-1.00,-1.00,1.24,84.30,75.92,0.10,-25.42,1394
5944,Robotic Pioneers,St. Louis,INTippecanoe,1,3.31,0.08,-0.63,-0.63,0.13,0.00,7.94,0.13,-1.00,-1.00,2.65,10.61,-0.13,0.47,0.16,0.33,0.41,0.11,-0.01,28.28,1.06,-1.00,-1.00,17.18,0.00,-0.14,-0.09,-11.26,0.00,-1.00,-1.00,0.00,-0.01,0.21,0.22,0.09,0.09,3.32,3.36,36.22,0.84,1.19,-1.00,-1.00,-0.47,31.16,30.00,-0.03,-40.42,1384
5945,|CTRL| (Absolute Control),St. Louis,CHSChampionship,6,4.57,-0.67,-0.08,-0.26,0.25,0.00,15.17,0.25,-1.00,-1.00,5.06,19.48,0.95,1.38,0.48,0.33,0.33,0.35,-0.11,26.28,1.17,-1.00,-1.00,74.72,0.36,0.24,0.36,47.96,0.92,-1.00,-1.00,-0.01,-0.11,-0.05,-0.07,0.37,0.03,9.01,0.36,41.45,0.91,1.42,-1.00,-1.00,0.22,94.55,83.40,0.12,-16.74,1449
5945,|CTRL| (Absolute Control),St. Louis,CHSCentralMaryland,4,4.76,-0.03,0.00,-0.01,0.00,0.00,0.01,0.00,-1.00,-1.00,0.00,4.76,0.47,0.15,-0.03,0.35,0.38,0.30,0.00,41.10,1.97,-1.00,-1.00,83.20,0.09,0.38,0.38,42.13,0.64,-1.00,-1.00,0.00,0.00,-0.12,-0.06,-0.15,-0.04,-4.32,-1.23,41.11,1.03,1.97,-1.00,-1.00,-0.04,86.73,86.73,0.33,12.78,1464
5945,|CTRL| (Absolute Control),St. Louis,CHSNorthernMaryland,3,4.63,0.00,-0.04,-0.04,0.10,0.00,6.09,0.10,-1.00,-1.00,2.03,10.68,0.14,-0.12,0.02,0.33,0.27,-0.04,-0.02,17.93,0.19,-1.00,-1.00,54.64,0.20,0.15,0.38,36.69,0.59,-1.00,-1.00,0.00,-0.02,-0.06,0.48,-0.10,0.59,-2.71,17.27,24.02,0.55,0.29,-1.00,-1.00,-0.02,82.59,80.88,0.10,29.35,1464
5947,Robojags,St. Louis,FingerLakes,3,5.42,0.00,-0.93,-0.93,0.00,0.00,0.18,0.00,-1.00,-1.00,0.06,4.67,3.47,-1.47,-0.20,0.33,0.32,-0.11,-0.01,21.28,0.14,-1.00,-1.00,68.84,0.34,0.22,0.40,47.76,0.60,-1.00,-1.00,-0.01,-0.01,0.26,0.15,0.04,0.11,2.37,3.58,21.45,0.53,0.14,-1.00,-1.00,-1.13,77.09,75.85,0.16,-20.59,1409
5948,Lebotics,Houston,Toluca,1,3.60,0.17,-0.44,-0.43,-0.01,0.00,-0.76,-0.01,-1.00,-1.00,-0.25,2.40,-0.45,0.04,-0.08,0.33,0.13,-0.02,0.00,17.99,0.17,-1.00,-1.00,32.78,0.39,-0.15,0.05,14.87,0.00,-1.00,-1.00,0.00,0.00,0.10,0.28,0.20,-0.24,5.52,-4.56,17.23,0.44,0.16,-1.00,-1.00,-0.51,30.62,30.62,0.24,-18.56,1384
5949,TechGarage,Houston,SouthFlorida,1,2.53,0.00,0.39,0.39,0.21,0.00,12.81,0.21,-1.00,-1.00,4.27,15.73,-0.02,3.14,0.72,0.34,0.23,0.14,0.00,20.12,0.83,-1.00,-1.00,21.24,-0.08,0.14,-0.05,0.40,0.10,-1.00,-1.00,0.00,0.00,0.24,-0.16,0.67,-0.21,17.96,-6.05,32.92,0.72,1.04,-1.00,-1.00,1.11,30.92,30.92,-0.17,-62.57,1342
5950,Trojans,St. Louis,CHSChampionship,6,5.50,1.67,0.62,1.17,0.12,-0.01,6.16,0.10,-1.00,-1.00,2.05,12.83,-0.04,0.03,-0.03,0.33,0.33,0.30,-0.08,31.35,1.29,-1.00,-1.00,80.70,0.46,0.35,0.17,49.38,0.92,-1.00,-1.00,-0.02,-0.08,0.04,-0.17,0.12,0.13,3.11,2.37,37.51,0.89,1.39,-1.00,-1.00,1.14,95.89,87.79,0.22,-15.22,1445
5950,Trojans,St. Louis,CHSCentralValley,4,4.87,2.92,0.03,0.78,0.06,0.00,3.63,0.06,-1.00,-1.00,1.21,9.28,-0.18,3.11,0.99,0.33,0.35,0.21,0.06,35.61,1.84,-1.00,-1.00,83.52,0.01,0.50,0.43,46.93,0.93,-1.00,-1.00,0.00,0.06,0.31,0.17,0.21,-0.09,6.81,-1.33,39.24,0.95,1.90,-1.00,-1.00,1.77,91.48,97.59,0.12,4.26,1491
5950,Trojans,St. Louis,CHSSouthwestVirginia,1,4.63,0.30,-0.02,-0.02,-0.09,0.00,-5.38,-0.09,-1.00,-1.00,-1.79,-0.77,-0.17,-0.75,-0.25,0.35,0.55,0.06,0.00,41.79,1.40,-1.00,-1.00,83.99,0.39,0.33,0.12,42.45,0.85,-1.00,-1.00,0.00,0.00,-0.04,0.00,0.13,0.43,2.92,10.76,36.41,0.96,1.31,-1.00,-1.00,-0.26,93.98,93.98,0.41,46.65,1488
5951,M.A Robotics,Houston,ISRChampionship,4,4.98,-0.01,0.75,0.75,-0.10,0.00,-6.03,-0.10,-1.00,-1.00,-2.01,-0.30,0.00,-1.96,-0.71,0.33,0.33,0.40,0.00,46.83,2.38,-1.00,-1.00,97.07,0.39,0.28,0.36,50.95,0.79,-1.00,-1.00,0.02,0.00,0.00,1.33,0.10,-0.13,2.55,3.43,40.80,1.07,2.28,-1.00,-1.00,0.04,100.20,100.55,0.38,39.91,1522
5951,M.A Robotics,Houston,ISR4,3,4.24,-0.04,0.99,0.99,0.42,0.00,25.22,0.42,-1.00,-1.00,8.41,30.45,-0.02,-4.09,-1.35,0.33,0.37,0.29,0.00,22.88,1.46,-1.00,-1.00,62.99,0.43,0.11,0.29,41.46,0.67,-1.00,-1.00,0.01,0.00,0.68,0.00,-0.08,0.27,1.39,6.62,48.10,0.99,1.88,-1.00,-1.00,-0.36,100.06,100.17,0.23,22.89,1497
