# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	Archimedes	Curie	Galileo	Newton	BAE	FingerLakes	Palmetto	HubCity	CentralValley	Kettering	TraverseCity	HatboroHorsham	TorontoEast	SanDiego	Orlando	WPI	LakeSuperior	NorthernLights	Oregon	LoneStar	NewYorkCity	GullLake	Waterford	Israel	Montreal	Peachtree	Boilermaker	KansasCity	St.Louis	NorthCarolina	Pittsburgh	Virginia	Detroit	St.Joseph	TCNJ	SpringsideChestnutHill	Waterloo	Phoenix	Sacramento	LosAngeles	Bayou	Boston	QueenCIty	Dallas	Utah	CentralWashington	Wisconsin	WestMichigan	GrandBlanc	MountOlive	LenapeSeneca	TorontoWest	InlandEmpire	Connecticut	WashingtonDC	SouthFlorida	MN10000Lakes	MNNorthStar	Buckeye	Oklahoma	SmokyMountains	Alamo	Seattle	Livonia	Troy	WesternCanadian	Razorback	SiliconValley	Colorado	Hawaii	Midwest	Crossroads	PineTree	LasVegas	LongIsland	Spokane	Bedford	BridgewaterRaritan	Chesapeake	MichiganState	MidAtlanticRegion
																																																																																								
4	Fremont, MI USA	Newaygo County Regional Educational Service Agency / The Fremont Area Community Foundation / The Gerber Foundation / Kaydon Bearings / The people of Newaygo County & Newaygo County RESA	NC GEARS	1918	43	62.0	Curie		46.3412650633475									39.7334322026726																																					50.1027496879063																																61.9935175251694	
2	Waterloo, ON Canada	XL Tool & St. David Catholic Secondary School	Team Dave	3683	44	61.6																																						37.5114177009662															61.5900202356274																													
4	Niles, MI USA	AEP-American Electric Power / Delta Machining Inc. / Whirlpool Corporation / Eagle Technologies Group / Innovative Machining & Southwestern Michigan College	Excel	2474	45	61.6	Galileo			44.9505972523994								34.2936223485814																							61.5859130483737																																														44.1691493713632	
3	Colorado Springs, CO USA	United States Air Force Academy/Honeywell/Challenger Learning Center/Aeroflex/Vertec Tool, Inc/IEEE/Fastenal & Coronado High School	Cougars Gone Wired	2996	46	61.5	Curie		59.2921243719614																										44.0791686336433																																									61.506287824448												
3	Kansas City, MO USA	Milbank Manufacturing Co. / Columbia Capital Management / MOC Solutions / Laird Plastics & The Barstow School	The Kuh-nig-its	1939	47	61.3	Curie		42.9415139622904																										57.7825656541913																																							61.316586473249														
3	Clifton Park, NY USA	General Electric Volunteers/Global Foundries-Town of Malta Foundation/BAE SYSTEMS/TCT Federal Credit Union/Advanced Manufacturing Techniques Inc./Rensselaer Polytechnic Institute & Shenendehowa High School	The Rocketeers	20	48	61.1	Archimedes	81.6007262130307															54.978430850444																																						61.1128058594417																											
3	San Diego, CA USA	Environmental Lights / QUALCOMM Incorporated / WowWee / NASSCO / SolidWorks / SpaceX / SolidCAM & Francis Parker High School	WARLords	2485	49	61.0	Galileo			62.9678316827313											55.2444639854462																																							61.0154856841845																												
3	Stuart, FL USA	Pratt & Whitney / Education Foundation of Martin County & Jensen Beach High School & Martin County High School & South Fork High School & Clark Advanced Learning Center (High School)	S.P.A.M.	180	50	60.6	Newton				54.515888573219											42.9925300652976																																									60.6135647957571																									
2	Rochester, NY USA	Time Warner Cable/Xylem/Xerox & McQuaid Jesuit High School	IgKnighters	3173	51	59.8							43.2097265473532																																				59.8029431852313																																							
4	Armada, MI USA	Ford Motor Company/The Chrysler Foundation/Master Pneumatic, Inc/Miljoco Corporation/Richmond Rotary/NuStep, Inc & The Macomb Academy of Arts & Sciences	The Fighting Pi	1718	52	59.7	Newton				64.7991798715426																			52.7497758069294																										59.7376492797686																															46.8971064621433	
3	Cassopolis , MI USA	SRT / K&M Machine Fabricating, Inc. / IMT Consulting Inc / Bergen RC / JCS Woodworking and Manufacturing / WSBT / Allan Widerquist / Firevine / ICM Products Inc. / Creative Vinyl Sign Inc. / Edward Lowe Foundation / Prefered Printing Inc / Hayden True Value Hardware / Cass County Sheriff's Dep. / Harry Shaffer / Cassopolis Dental / Dussel's Farm Market Greenhouse Inc / RC Fun Park / Porky's Party Place / Dowagiac Vacuum / OH My... / Zeke's & Cassopolis High School	RoboRangers	4325	53	59.3																																			39.0960836599229														46.5206288169476																																59.2791104640833	
5	Flanders, NJ USA	Siemens/BAE Systems/Givaudan/National Defense Education Program & Mt. Olive Robotics Team	MORT	11	54	59.1	Archimedes	49.8439714676463						47.1872214738783																																											57.2697061601149																												59.1499478381696			42.4777843399449
3	Hamilton, ON Canada	Eaton Corporation/FIRST Robotics Canada/RMT Robotics/Xerox Canada & St. Mary Catholic Secondary School	MakeShift Robotics	4039	55	59.1	Galileo			55.7212354228389																																		59.0894744826503															58.5164499139818																													
1	Skipwith, VA USA	MBC/Verizon/Longwood University Institute for Teaching through Technology and Innovative Practices/Southside Virginia Regional Technology Consortium/Clarksville Ruritans/Mecklenburg County Business Education Partnership/Mecklenburg Electric Co operative & Mecklenburg County Public Schools	Skrappy's Zoo	1413	56	58.9																															58.9420904135744																																																			
2	Saint Anthony Village, MN USA	Medtronic Foundation & St. Anthony Village High School	Robo Huskies	2574	57	58.8																																																30.1130528227732											58.8391662730401																							
3	Jupiter and Palm Beach Gardens, FL USA	Sikorsky Aircraft/Lockheed Martin/John C. Bills Properties & Jupiter High School & William T Dwyer High School	Mega Awesome Robotic Systems (MARS)	1523	58	58.8	Newton				47.5350397938746											21.1212284796792																																									58.8141733658874																									
2	Brookfield, WI USA	NASA/GE Volunteers/ABB Drives/Milwaukee School of Engineering/TCI/ESI/Signicast & Brookfield East High School	B'East Robotics	2202	59	58.5																																																35.5979657179681																									58.5145127808393									
4	Washington, MI USA	RCM Inc. / NDEP / Master CNC / Cross The Road Electronics / Foundation for Educational Excellence & Romeo Engineering & Technology Center	Byting Bulldogs	3539	60	58.5	Curie		70.830071668709																					27.9373788928526																																										58.4704628014298															52.1748071966966	
2	Huntington, IN USA	UT Electronic Controls/Pentair/PHD, Inc./BAE Systems/Yamaha Robotics & Huntington County 4-H Robotics	Team THRUST	1501	61	58.4																												21.0785336210617																																													58.4254527007543									
5	Rochester Hills, MI USA	GM Global Product Operations / Chrysler Foundation / R & G Drummer / Plex Systems, Inc. / SAIC / Magna Powertrain & Rochester Adams and Stoney Creek High Schools	Adambots	245	62	58.1	Galileo			65.9996258738872				48.8856337090981																																										50.6648075940437																56.6104017512839															58.0944712027157	
4	Carneys Point, NJ USA	The Boeing Company / South Jersey Robotics, Inc / Salem County Community College / PSEG / DuPont & Salem, Gloucester and Cumberland County HS	LuNaTeCs	316	63	58.1	Archimedes	37.0347763175005																																			30.1275002402965															58.0812707537568																														57.0835929064363
3	New Brighton, MN USA	Medtronic/Groves Foundation & Irondale High School	KnightKrawler	2052	64	57.4	Newton				64.8117596768555													36.0196799270866																																								57.4257009928244																								
3	Eden Prairie, MN USA	MTS Systems Corporation / Best Buy / PTC & Eden Prairie High School	Talon Robotics	2502	65	57.1	Galileo			22.2889384407454															23.1008421329501																																							57.0580205287005																								
3	Oakland, ME USA	Wrabacon, Inc/Fairchild Semiconductor/Maine State Credit Union & Messalonskee High School	Infinite Loop	2648	66	56.5	Galileo			51.9711256641556													35.849622294741																																																									56.5367407642773								
3	Wyncote , PA USA	NASA/Lockheed Martin/Arcadia University/Comcast/McDevitt Alumni Association & Bishop McDevitt High School	E=mCD	3974	67	56.3													34.761470295408																								56.2734690746283																																													35.3135269330066
5	Clarkston, MI USA	BorgWarner/The Chrysler Foundation/Mclaren Health Care/BAE SYSTEMS/Smith's Disposal/Recticel North America Inc./Magna Powertrain/Genisys Credit Union & Clarkston Schools & CSMTech Academy Clarkston High School	Team RUSH	27	68	56.0	Galileo			54.8107453611334															7.2125019512165																42.6562210165307																														40.3272247126328																56.021877165593	
2	Oak Ridge, TN USA	Bechtel/SAIC/UT Battelle/jcpenney/Fazoli's/Oak Ridge Associated Universities & Oak Ridge High School	Wildbots	4265	69	56.0	Archimedes	70.5095178941827																																																												55.9616298553885																				
4	Fairfield, CA USA	Travis USD / Solano County Office of Education / Genentech / Ms. Paula Green / Fairfield-Suisun Rotary / SilverTail Systems / Pedron's Storage Co. / Collotype / Vanden Robotics Foundation & Vanden High School	RoboVikes	701	70	55.7	Archimedes	45.3083851098919								27.051278454276																														31.7093602025771																														55.7384515865543												
5	Coloma, MI USA	Edgewater Automation/Manasha Corporation/AEP & Coloma High School & Watervliet HIgh School & Lake Michigan Catholic High School & Grace Christian High School & Michigan Lutheran High School & Eau Claire High School	Robotarians	2959	71	55.6	Archimedes	72.3077756363258																					51.0797976366473												55.6265129865142																																											53.3470016292629			44.2763291828932	
3	Grandview Heights, OH USA	American Electric Power / Grandview Heights Marble Cliff Education Foundation & Grandview Heights High School	The Botcats	128	72	55.6	Newton				66.1324860957209																											55.023166303193																																																55.5552544939897		
4	Mississauga, ON Canada	General Motors of Canada/Karan Fastner/Templeton & Sons/Hydrogenics/A'S Precision Machining/Microchip Technology Inc/Ontario Power Generation & Theory6	THEORY6	1241	73	55.5	Galileo			48.3001577724332										40.6631308749631																								40.5128017528918															55.4875894432416																													
3	Toronto, ON Canada	Thales Group & Runnymede CI	RUNNYMEDE ROBOTICS	1310	74	55.3	Curie		82.9045908695132																																			55.3045128602135															50.2083684756409																													
1	Longview, WA USA	Bezos Family Foundation/WSU 4-H Cowlitz County/Platt Electric & Longview School District	Bits & Bots	3812	75	55.1																				55.0585943593708																																																														
2	Lodi, CA USA	The Clark Family / Bennett Realty / Google / HKM Machine & Fabircation / Pete's Workshop / Geiger Manufacturing & Jim Elliot Christian High School	Raptor Force Engineering	1662	76	55.0																																								54.98726805832																													53.4356053381872													
4	Plainsboro, NJ USA	Bristol-Myers Squibb/Princeton Plasma Physics Lab/Lockheed Martin/SRI/Millineum/WWP Education Foundation & West Windsor-Plainsboro HS North & South	The MidKnight Inventors	1923	77	54.9	Curie		55.7270507550752										11.7120535308362																																							24.4922270413409																														54.9411157516998
2	Mountain View, CA USA	NASA Ames Research Center / Google / St. Jude Medical Foundation / The Linley Group / Intuitive Surgical / Group Manufacturing Services / Machine Applications Technology Inc. / Agilent Technologies Inc / West Mountain Radio / Measurement Computing / Abbott Fund / BAE Systems & Mountain View High School	Spartan Robotics	971	78	54.9																																								36.8038579498128																													54.9008803048621													
3	Goodrich, MI USA	General Motors / Chrysler Foundation / Onsite Aerospace Engineering Service / Kettering University / Grupo Antolin / Leoni / Patti Engineering & Goodrich High School	Martians	494	79	54.7																								34.7677078609892																									41.2955782062542																																54.7337966211454	
